"id","psss_nominal","avg_ss"
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.01_small","small",45.4344715137794
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.01_medium","medium",113.591846926655
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.01_large","large",180.855657728465
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.06_small","small",45.4114430518512
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.06_medium","medium",113.069990634395
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.06_large","large",180.249588428759
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.11_small","small",45.3859888808734
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.11_medium","medium",112.650573895981
"pb_no_orb_str_k_30_d0.20_su0.06_sv0.11_large","large",179.81596404756
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.01_small","small",45.4268378247794
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.01_medium","medium",113.037111448566
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.01_large","large",180.288967830806
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.06_small","small",45.3611871570052
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.06_medium","medium",112.726982855005
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.06_large","large",179.886893544752
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.11_small","small",45.3011145507337
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.11_medium","medium",112.348998943221
"pb_no_orb_str_k_30_d0.20_su0.11_sv0.11_large","large",179.312881016779
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.01_small","small",45.8876351221005
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.01_medium","medium",112.621390307755
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.01_large","large",178.270178537057
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.06_small","small",45.4540550906272
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.06_medium","medium",111.971248418561
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.06_large","large",178.094383425009
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.11_small","small",45.2589114324543
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.11_medium","medium",111.704849864918
"pb_no_orb_str_k_30_d0.50_su0.01_sv0.11_large","large",177.932852331938
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.01_small","small",45.4553548417054
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.01_medium","medium",111.987478237595
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.01_large","large",178.071865589129
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.06_small","small",45.2452726943584
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.06_medium","medium",111.750081673236
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.06_large","large",177.939540576351
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.11_small","small",45.1218876416515
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.11_medium","medium",111.507098421903
"pb_no_orb_str_k_30_d0.50_su0.06_sv0.11_large","large",177.676042048567
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.01_small","small",45.202361489364
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.01_medium","medium",111.656121589302
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.01_large","large",177.723211572742
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.06_small","small",45.1118674493001
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.06_medium","medium",111.505236568508
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.06_large","large",177.769849897228
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.11_small","small",45.0572972975493
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.11_medium","medium",111.352720389041
"pb_no_orb_str_k_30_d0.50_su0.11_sv0.11_large","large",177.691603000736
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.01_small","small",44.8912280504729
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.01_medium","medium",109.554565066937
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.01_large","large",174.579862051545
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.06_small","small",44.8460126736443
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.06_medium","medium",109.93950192698
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.06_large","large",175.274777264267
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.11_small","small",44.7522120404731
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.11_medium","medium",110.085521392612
"pb_no_orb_str_k_30_d0.80_su0.01_sv0.11_large","large",175.651816385883
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.01_small","small",44.8104096021745
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.01_medium","medium",109.950587084834
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.01_large","large",175.246842995914
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.06_small","small",44.7610465341481
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.06_medium","medium",110.062948728019
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.06_large","large",175.615620838815
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.11_small","small",44.6984043744118
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.11_medium","medium",110.098328080166
"pb_no_orb_str_k_30_d0.80_su0.06_sv0.11_large","large",175.844115177871
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.01_small","small",44.7382868614729
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.01_medium","medium",110.125245826096
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.01_large","large",175.645100223818
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.06_small","small",44.6855373540065
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.06_medium","medium",110.065989081025
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.06_large","large",175.814725004922
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.11_small","small",44.6322362344114
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.11_medium","medium",110.130665535789
"pb_no_orb_str_k_30_d0.80_su0.11_sv0.11_large","large",176.024042988211
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.01_small","small",44.7003436223248
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.01_medium","medium",112.373909915821
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.01_large","large",181.916820498198
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.06_small","small",45.3060095710963
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.06_medium","medium",113.318763201213
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.06_large","large",181.886477700361
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.11_small","small",45.4843906803837
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.11_medium","medium",112.952982466392
"pb_no_orb_str_k_70_d0.00_su0.01_sv0.11_large","large",180.867889422149
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.01_small","small",45.3661475858997
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.01_medium","medium",113.290328491413
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.01_large","large",182.335150463063
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.06_small","small",45.4832979804357
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.06_medium","medium",113.027883786834
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.06_large","large",181.139819625375
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.11_small","small",45.4440579398201
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.11_medium","medium",112.545172984492
"pb_no_orb_str_k_70_d0.00_su0.06_sv0.11_large","large",180.215310492943
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.01_small","small",45.4694485140255
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.01_medium","medium",112.994380115705
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.01_large","large",181.376052496316
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.06_small","small",45.437048658734
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.06_medium","medium",112.645431618037
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.06_large","large",180.355767915471
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.11_small","small",45.4045324381698
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.11_medium","medium",112.231817156804
"pb_no_orb_str_k_70_d0.00_su0.11_sv0.11_large","large",179.686390158556
