"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.01_medium",79.1066666666667,11.866,79.1066666666667,11.866,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.01_large",85.1,12.765,85.1,12.765,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.06_small",65.4666666666667,9.82,65.4666666666667,9.82,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.06_medium",78.9066666666667,11.836,78.9066666666667,11.836,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.06_large",84.4133333333333,12.662,84.4133333333333,12.662,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.11_small",65.5266666666667,9.829,65.5266666666667,9.829,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.11_medium",78.64,11.796,78.64,11.796,1,1,1
"pb_str_orb_no_k_15_d0.50_su0.11_sv0.11_large",84,12.6,84,12.6,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.01_small",92.34,13.851,92.34,13.851,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.01_medium",99.3066666666667,14.896,99.3066666666667,14.896,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.01_large",99.84,14.976,99.84,14.976,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.06_small",90.7333333333333,13.61,90.7333333333333,13.61,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.06_medium",98.6133333333333,14.792,98.6133333333333,14.792,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.06_large",99.6066666666667,14.941,99.6066666666667,14.941,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.11_small",89.42,13.413,89.42,13.413,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.11_medium",97.9066666666667,14.686,97.9066666666667,14.686,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.01_sv0.11_large",98.9866666666667,14.848,98.9866666666667,14.848,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.01_small",88.3333333333333,13.25,88.3333333333333,13.25,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.01_medium",96.9333333333333,14.54,96.9333333333333,14.54,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.01_large",98.58,14.787,98.58,14.787,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.06_small",86.78,13.017,86.78,13.017,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.06_medium",95.8666666666667,14.38,95.8666666666667,14.38,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.06_large",97.58,14.637,97.58,14.637,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.11_small",85.88,12.882,85.88,12.882,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.11_medium",94.8333333333333,14.225,94.8333333333333,14.225,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.06_sv0.11_large",96.6666666666667,14.5,96.6666666666667,14.5,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.01_small",85.18,12.777,85.18,12.777,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.01_medium",93.92,14.088,93.92,14.088,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.01_large",96.0733333333333,14.411,96.0733333333333,14.411,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.06_small",84.2333333333333,12.635,84.2333333333333,12.635,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.06_medium",92.88,13.932,92.88,13.932,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.06_large",95.1933333333333,14.279,95.1933333333333,14.279,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.11_small",83.48,12.522,83.48,12.522,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.11_medium",91.9866666666667,13.798,91.9866666666667,13.798,1,1,1
"pb_str_orb_no_k_15_d0.80_su0.11_sv0.11_large",94.54,14.181,94.54,14.181,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.01_small",20.7966666666667,6.239,20.7966666666667,6.239,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.01_medium",27.86,8.358,27.86,8.358,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.01_large",32.5366666666667,9.761,32.5366666666667,9.761,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.06_small",26.0633333333333,7.819,26.0633333333333,7.819,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.06_medium",36.7433333333333,11.023,36.7433333333333,11.023,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.06_large",43.3466666666667,13.004,43.3466666666667,13.004,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.11_small",30.0433333333333,9.013,30.0433333333333,9.013,1,1,1
"pb_str_orb_no_k_30_d0.00_su0.01_sv0.11_medium",42.4766666666667,12.743,42.4766666666667,12.743,1,1,1
