"index","bt","k","d","su","sv","p","pet_smd_perc_non_conv","pet_tr_smd_perc_non_conv","peese_smd_perc_non_conv","peese_tr_smd_perc_non_conv","pet_int_smd_perc_z3","pet_int_tr_smd_perc_z3","pet_slope_smd_perc_z3","pet_slope_tr_smd_perc_z3","peese_int_smd_perc_z3","peese_int_tr_smd_perc_z3","peese_slope_smd_perc_z3","peese_slope_tr_smd_perc_z3","corrected_smd_perc_z3","corrected_tr_smd_smd_perc_z3"
46,"pb_no_orb_no",15,0.2,0.11,0.01,"small",0,0.1,0,0,0.8,0.8,0.7,0.8,0.9,0.6,0.7,0.9,0.7,0.4
47,"pb_no_orb_no",15,0.2,0.11,0.01,"medium",0.1,0,0,0,0.7,0.8,1,0.5,0.6,0.6,1,0.8,0.4,0.7
48,"pb_no_orb_no",15,0.2,0.11,0.01,"large",0.3,0,0,0,0.6,0.5,0.8,0.7,0.5,0.5,1,1.3,0.9,0.9
49,"pb_no_orb_no",15,0.2,0.11,0.06,"small",0,0,0,0.1,1,0.7,1,0.9,1.1,0.8,0.9,0.9,0.9,0.4
50,"pb_no_orb_no",15,0.2,0.11,0.06,"medium",0,0,0,0,0.6,0.7,1.1,0.7,0.7,0.6,1,0.9,0.7,0.6
51,"pb_no_orb_no",15,0.2,0.11,0.06,"large",0,0,0,0,0.9,0.9,0.8,1,0.5,0.6,1,0.9,0.7,0.8
52,"pb_no_orb_no",15,0.2,0.11,0.11,"small",0,0,0,0.1,1.1,0.6,1,0.8,1.2,0.8,1,0.9,0.9,0.4
53,"pb_no_orb_no",15,0.2,0.11,0.11,"medium",0,0,0,0,0.7,0.6,0.9,0.9,0.8,0.7,0.8,1,0.6,0.5
54,"pb_no_orb_no",15,0.2,0.11,0.11,"large",0,0,0,0,0.9,0.7,0.6,0.9,0.5,0.6,0.9,1.1,0.7,0.7
55,"pb_no_orb_no",15,0.5,0.01,0.01,"small",2,1,1.3,0.3,1.02,0.51,0.92,0.61,0.71,0.4,0.91,0.6,0.92,0.81
56,"pb_no_orb_no",15,0.5,0.01,0.01,"medium",0.3,0.1,0.6,0,0.9,0.6,0.9,0.9,0.5,0.8,0.8,0.7,0.7,0.8
57,"pb_no_orb_no",15,0.5,0.01,0.01,"large",0,0,0.1,0,0.3,0.5,0.2,0.4,0.7,0.5,0.6,0.6,1.1,1.5
58,"pb_no_orb_no",15,0.5,0.01,0.06,"small",0.4,0.4,0.5,0,0.7,0.7,0.7,0.5,0.8,0.6,0.7,0.5,0.9,0.6
59,"pb_no_orb_no",15,0.5,0.01,0.06,"medium",0,0,0,0,0.8,0.8,1,1,0.7,0.7,1.1,1,0.8,0.6
60,"pb_no_orb_no",15,0.5,0.01,0.06,"large",0,0,0,0,0.3,0.7,0.4,0.6,0.4,0.7,0.6,0.4,0.7,1
61,"pb_no_orb_no",15,0.5,0.01,0.11,"small",0.1,0.3,0.1,0.3,0.8,0.5,0.7,0.5,0.7,0.4,0.9,0.4,0.8,0.5
62,"pb_no_orb_no",15,0.5,0.01,0.11,"medium",0,0.1,0,0.2,0.9,0.5,0.8,0.9,0.6,0.6,0.8,1,0.7,0.6
63,"pb_no_orb_no",15,0.5,0.01,0.11,"large",0,0,0,0,0.3,0.7,0.3,0.5,0.4,0.7,0.5,0.6,0.6,0.8
64,"pb_no_orb_no",15,0.5,0.06,0.01,"small",0,0,0,0,1,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.5
65,"pb_no_orb_no",15,0.5,0.06,0.01,"medium",0,0,0.1,0,0.8,0.7,0.9,0.8,0.7,0.5,0.8,0.9,0.5,0.7
66,"pb_no_orb_no",15,0.5,0.06,0.01,"large",0,0,0.1,0,0.8,0.7,0.9,0.9,0.7,0.5,1,1.2,0.7,1.3
67,"pb_no_orb_no",15,0.5,0.06,0.06,"small",0,0,0,0,1,0.6,0.9,0.7,0.9,0.7,0.8,0.8,1,0.6
68,"pb_no_orb_no",15,0.5,0.06,0.06,"medium",0,0,0,0,0.5,0.6,0.4,0.9,0.8,0.8,1,1.1,0.4,0.8
69,"pb_no_orb_no",15,0.5,0.06,0.06,"large",0,0,0,0,0.7,0.6,0.8,0.6,0.7,0.8,0.9,1.1,0.9,1
70,"pb_no_orb_no",15,0.5,0.06,0.11,"small",0,0.2,0,0.1,1,0.6,0.9,0.9,1,0.7,1.1,0.8,1.1,0.4
71,"pb_no_orb_no",15,0.5,0.06,0.11,"medium",0,0.1,0,0,0.5,0.7,0.6,0.9,0.5,0.9,0.7,0.6,0.5,0.7
72,"pb_no_orb_no",15,0.5,0.06,0.11,"large",0,0,0,0,0.6,0.7,0.6,0.7,0.7,0.7,0.8,1.1,0.8,0.9
73,"pb_no_orb_no",15,0.5,0.11,0.01,"small",0,0,0,0,0.9,0.8,0.6,0.8,0.4,0.6,0.8,0.9,1,0.6
74,"pb_no_orb_no",15,0.5,0.11,0.01,"medium",0,0,0,0,0.7,0.8,0.7,0.5,0.7,0.6,0.9,0.8,0.5,0.7
75,"pb_no_orb_no",15,0.5,0.11,0.01,"large",0,0,0,0,0.9,0.5,0.9,0.8,0.8,0.5,1,1.3,0.9,1.4
76,"pb_no_orb_no",15,0.5,0.11,0.06,"small",0,0,0,0,1.2,0.7,1,0.9,1,0.8,1,0.9,1.2,0.6
77,"pb_no_orb_no",15,0.5,0.11,0.06,"medium",0,0,0,0,0.9,0.7,0.7,0.8,0.8,0.6,0.9,1,0.8,0.8
78,"pb_no_orb_no",15,0.5,0.11,0.06,"large",0,0,0,0,0.8,0.9,0.9,0.8,0.8,0.6,1.1,0.9,0.8,1
79,"pb_no_orb_no",15,0.5,0.11,0.11,"small",0,0.1,0,0,1.4,0.6,1.7,0.8,1.1,0.7,1.3,0.9,1.4,0.5
80,"pb_no_orb_no",15,0.5,0.11,0.11,"medium",0,0,0,0,1.1,0.6,1.2,0.9,1,0.7,1.2,1,1.1,0.7
81,"pb_no_orb_no",15,0.5,0.11,0.11,"large",0,0,0,0,0.9,0.8,1,0.9,0.9,0.6,1.1,1.1,0.9,1
