"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","k_cat","sigma2_u_cat","sigma2_v_cat"
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.01_large","pb_str_orb_mod_k_15_d0.20_su0.11_sv0.01","pb_str_orb_mod",15,0.2,0.11,0.01,"large",0.069,0.057,-0.0844367440162509,0.351051226026557,0.0590590590590591,0.114114114114114,-0.00806928903421625,0.0940438145891084,0.057,0.056,-0.0342284253352409,0.361531238030873,0.05,0.128,0.0164934826061337,0.0953242246583909,-0.112789410648284,0.302351738511673,-0.0731895977917033,0.289097956251596,-0.5620617325621,1.05724552880846,-0.562851290112311,1.08152299387316,69,"small","large","small"
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06_large","pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06","pb_str_orb_mod",15,0.2,0.11,0.06,"large",0.064,0.058,-0.0931296865973042,0.454986432092213,0.063,0.107,-0.00855829436199623,0.122130020027144,0.058,0.069,-0.0363952969000355,0.47356487974336,0.054,0.118,0.0192956015274722,0.124021073367674,-0.128871259187464,0.386641822660853,-0.0833033550041648,0.379196973445446,-0.797634754256345,1.49540185382626,-0.810475820812702,1.59631477082932,64,"small","large","medium"
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_large","pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11","pb_str_orb_mod",15,0.2,0.11,0.11,"large",0.076,0.06,-0.104546742642197,0.534429766060561,0.079,0.101,-0.0106872737715898,0.143410286659041,0.066,0.064,-0.0362561691964902,0.560132008484355,0.066,0.115,0.0222436607488428,0.146541989222089,-0.142109821493843,0.453170004064693,-0.0845693973675045,0.44798042888477,-0.731823085542378,1.52062781114477,-0.734265314557167,1.57896841319835,76,"small","large","large"
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_small","pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01","pb_str_orb_mod",15,0.5,0.01,0.01,"small",0.0108342361863489,0.0184182015167931,-0.177000724813852,0.125279552636954,0.0108813928182807,0.376496191512514,-0.0309703247890224,0.0249805276879762,0.0100603621730382,0.0301810865191147,-0.132738478148419,0.112193648908667,0.00801603206412826,0.44689378757515,0.00074342700627017,0.0252659368412392,-0.184115181741532,0.118869056319461,-0.141509239319368,0.103235420947311,NA,NA,NA,NA,87,"small","small","small"
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_small","pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06","pb_str_orb_mod",15,0.5,0.01,0.06,"small",0.016008537886873,0.0416221985058698,-0.150209458154061,0.164891897891311,0.016008537886873,0.434364994663821,0.00433925028387694,0.0385153927408958,0.0131445904954499,0.0596562184024267,-0.0754258606511871,0.157737892534964,0.01001001001001,0.506506506506507,0.0473772702504215,0.0420358184088306,-0.163997598308395,0.150661938587674,-0.093318987240812,0.13501254713955,NA,NA,NA,NA,78,"small","small","medium"
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_small","pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11","pb_str_orb_mod",15,0.5,0.01,0.11,"small",0.0252631578947368,0.0515789473684211,-0.143486211345408,0.209163418767222,0.0231822971548999,0.432033719704953,0.0143485959910908,0.0509177383567677,0.0201612903225806,0.0826612903225806,-0.0413787185156889,0.201707192854251,0.019019019019019,0.529529529529529,0.0761756935056335,0.0599106434690719,-0.164214167958637,0.187656924150277,-0.0691931244142434,0.160525707648338,-0.801167022886578,0.941268695180771,-0.767300871376699,0.886485391828817,74,"small","small","large"
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.01_small","pb_str_orb_mod_k_15_d0.50_su0.06_sv0.01","pb_str_orb_mod",15,0.5,0.06,0.01,"small",0.027455121436114,0.0496304118268215,-0.179665637487043,0.250952229143033,0.0229405630865485,0.370177267987487,-0.0141081399283818,0.0622186728701487,0.0211480362537764,0.0755287009063444,-0.0849707062553734,0.248911575072494,0.018018018018018,0.464464464464464,0.0398311663290497,0.0648922767858671,-0.198930073342938,0.226084976698219,-0.114190157513391,0.202754054497639,NA,NA,NA,NA,79,"small","medium","small"
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.06_small","pb_str_orb_mod_k_15_d0.50_su0.06_sv0.06","pb_str_orb_mod",15,0.5,0.06,0.06,"small",0.0467775467775468,0.0488565488565489,-0.17555979908687,0.320090625707591,0.0418410041841004,0.364016736401674,-0.00384769343178148,0.0768005857112636,0.038422649140546,0.0839231547017189,-0.0612641753576825,0.317444756035131,0.0361809045226131,0.473366834170854,0.0620663834442833,0.0850755971156414,-0.200506225648327,0.285272651766115,-0.0980134111958446,0.253144060962982,-0.924621298008278,1.4791300397542,-0.890889235463714,1.43135035648503,83,"small","medium","medium"
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.11_small","pb_str_orb_mod_k_15_d0.50_su0.06_sv0.11","pb_str_orb_mod",15,0.5,0.06,0.11,"small",0.0493697478991597,0.069327731092437,-0.173746344408736,0.379776662851531,0.0498442367601246,0.336448598130841,0.00301671926558755,0.0946765350855167,0.0392749244712991,0.0926485397784491,-0.034506178685163,0.361327425398873,0.033033033033033,0.445445445445445,0.0882145918996609,0.10364671199216,-0.20442358206859,0.330742165206076,-0.0767480127924148,0.279851115515299,-0.864953162288689,1.42369872459857,-0.804652419684009,1.31079935030134,95,"small","medium","large"
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.01_small","pb_str_orb_mod_k_15_d0.50_su0.11_sv0.01","pb_str_orb_mod",15,0.5,0.11,0.01,"small",0.0466804979253112,0.0601659751037344,-0.222375668019268,0.404931971204201,0.0463917525773196,0.312371134020619,-0.0308424682595415,0.0995360952524727,0.0433905146316852,0.0847628657921292,-0.081694899053218,0.412219634984894,0.0421263791374122,0.408224674022066,0.0457808489143181,0.108447049418603,-0.248640731967436,0.360664561580759,-0.12469539498936,0.324768617313653,NA,NA,NA,NA,81,"small","large","small"
