"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study","k_cat","sigma2_u_cat","sigma2_v_cat"
"orb_4_k_15_d0.50_su0.06_sv0.06_large","orb_4_k_15_d0.50_su0.06_sv0.06","orb_4",15,0.5,0.06,0.06,"large",0.195,0.119,-0.29565545258017,0.253952418475917,0.192,0.539,-0.110741912069132,0.0571892322644476,0.066,0.257,-0.027239066919668,0.138611110418031,0.065,0.729,0.0229116188376608,0.0376390327752725,-0.304367836600751,0.244355360985203,-0.0657102264814959,0.0983983340200013,-0.753417461219101,0.768778340964422,-0.44444172685296,0.288889923931642,195,81.5755555555556,36.709,98.3,14.745,2.48942124542125,1.211,3,"small","medium","medium"
"orb_4_k_15_d0.50_su0.06_sv0.11_large","orb_4_k_15_d0.50_su0.06_sv0.11","orb_4",15,0.5,0.06,0.11,"large",0.206,0.102,-0.364874706276269,0.45284174150846,0.212212212212212,0.451451451451451,-0.138050009261036,0.0913739125433028,0.054,0.226,-0.0200272070543186,0.187470339234076,0.056,0.653,0.0309658995441855,0.0515970901809042,-0.375978294476237,0.442557150665425,-0.0688820664362435,0.13354365505227,-0.941651674181376,1.52087128811686,-0.505440668885183,0.378347240643984,206,81.2288888888889,36.553,98.6133333333333,14.792,2.47133736263736,1.196,3,"small","medium","large"
"orb_4_k_15_d0.50_su0.11_sv0.01_large","orb_4_k_15_d0.50_su0.11_sv0.01","orb_4",15,0.5,0.11,0.01,"large",0.21,0.073,-0.402979439878602,0.386430621353514,0.220440881763527,0.359719438877756,-0.174873070715399,0.0926520915948374,0.056,0.199,-0.0462034045112704,0.19259517298703,0.054,0.575,0.000758574398786238,0.0519127774582057,-0.413915390004936,0.376589538516032,-0.095632220559887,0.139780750750353,-0.929767923928742,1.08397683596471,-0.541750321282631,0.410936945677691,210,81.6555555555556,36.745,97.0133333333333,14.552,2.5251525974026,1.165,3,"small","large","small"
"orb_4_k_15_d0.50_su0.11_sv0.06_large","orb_4_k_15_d0.50_su0.11_sv0.06","orb_4",15,0.5,0.11,0.06,"large",0.234,0.092,-0.478869181328311,0.596548989237094,0.252,0.32,-0.201965674788978,0.132112553695716,0.063,0.177,-0.0339911066486808,0.238203118934843,0.062,0.537,0.0149553352005147,0.0637686669505496,-0.48898563452907,0.586105001909015,-0.0879233886611939,0.170892545746737,-1.05738307459995,1.69541288705824,-0.530256330850237,0.447978162661777,234,81.2644444444445,36.569,98.1133333333333,14.717,2.48475649350649,1.164,3,"small","large","medium"
"orb_4_k_15_d0.50_su0.11_sv0.11_large","orb_4_k_15_d0.50_su0.11_sv0.11","orb_4",15,0.5,0.11,0.11,"large",0.239,0.079,-0.536568099551607,0.787749748882077,0.246,0.264,-0.222879179965256,0.16021557517341,0.059,0.169,-0.0147636596198964,0.273240310172411,0.061,0.493,0.0287523052424244,0.0748390864464253,-0.547083745218475,0.775955882063247,-0.0747947508922979,0.189918512578459,-1.2299672894998,2.37131811919906,-0.532818625674258,0.470566961760109,239,81.3177777777778,36.593,98.5866666666667,14.788,2.47441794871795,1.196,3,"small","large","large"
"orb_4_k_15_d0.80_su0.01_sv0.01_small","orb_4_k_15_d0.80_su0.01_sv0.01","orb_4",15,0.8,0.01,0.01,"small",0.215873015873016,0.362962962962963,-0.32970047445064,0.208593278283599,0.228362877997914,0.937434827945777,-0.140267036836322,0.0463583873133074,0.0642570281124498,0.597389558232932,-0.112950079869095,0.106482467743339,0.064,0.985,-0.0152755246642228,0.0254358324567315,-0.300323635069495,0.197212962322898,-0.0902851104694826,0.0809121967981308,-0.687324330732656,0.553686270376904,-0.451176972694658,0.259880935359366,259,78.9555555555555,35.53,98.2466666666667,14.737,2.41094005994006,1.162,3,"small","small","small"
"orb_4_k_15_d0.80_su0.01_sv0.06_small","orb_4_k_15_d0.80_su0.01_sv0.06","orb_4",15,0.8,0.01,0.06,"small",0.268762677484787,0.224137931034483,-0.425046860081848,0.336640773825993,0.271717171717172,0.851515151515152,-0.175388294969135,0.0706412081784611,0.062124248496994,0.513026052104208,-0.0695441553256874,0.132671103488521,0.0561122244488978,0.967935871743487,0.0177622182407567,0.0337326524308309,-0.402634752355618,0.326051161836497,-0.0699687854415074,0.0980077916264765,-0.80936216421587,0.814658847260986,-0.43560790864765,0.259707291672877,279,77.4688888888889,34.861,98.2866666666667,14.743,2.36464358974359,1.119,3,"small","small","medium"
"orb_4_k_15_d0.80_su0.01_sv0.11_small","orb_4_k_15_d0.80_su0.01_sv0.11","orb_4",15,0.8,0.01,0.11,"small",0.305751765893037,0.158425832492432,-0.509496555359435,0.516604317871184,0.305527638190955,0.744723618090452,-0.207542499844265,0.106581627184469,0.0573440643863179,0.467806841046278,-0.0243458229736884,0.161499999785176,0.0521564694082247,0.9518555667001,0.0490353453545149,0.0455155220022043,-0.495177098061359,0.506916290303658,-0.0460933090237723,0.11287390374051,-0.964362792681512,1.23426014068912,-0.390285519764369,0.247909908627463,312,76.5955555555555,34.468,98.2733333333333,14.741,2.33832637362637,1.126,3,"small","small","large"
"orb_4_k_15_d0.80_su0.06_sv0.01_small","orb_4_k_15_d0.80_su0.06_sv0.01","orb_4",15,0.8,0.06,0.01,"small",0.287449392712551,0.172064777327935,-0.486416460649145,0.433909574492482,0.302845528455285,0.744918699186992,-0.208043906117766,0.0956618266573122,0.095190380761523,0.408817635270541,-0.0871626463785976,0.202060132356785,0.084,0.918,0.00506494022835657,0.0527071583238413,-0.480436781663043,0.424337875758155,-0.110254590953085,0.148867344980431,-0.893812499464481,0.949955613217296,-0.525730797430059,0.366779396560666,296,77.4644444444444,34.859,97.1333333333333,14.57,2.392616999667,1.097,3,"small","medium","small"
"orb_4_k_15_d0.80_su0.06_sv0.06_small","orb_4_k_15_d0.80_su0.06_sv0.06","orb_4",15,0.8,0.06,0.06,"small",0.357142857142857,0.131790744466801,-0.606737448753425,0.646739796558494,0.359798994974874,0.623115577889447,-0.256661359834416,0.138621453150966,0.079,0.405,-0.0461288906568162,0.22582873161976,0.0740740740740741,0.897897897897898,0.0347636252395487,0.0617396930964364,-0.59953497463683,0.63888029834836,-0.0812648096865569,0.160766844269702,-1.04932787240377,1.32546958114696,-0.436011131997231,0.320317654495937,361,76.4822222222222,34.417,97.5666666666667,14.635,2.35187765567766,1.098,3,"small","medium","medium"
